,transcript_id,video_id,sent_id,sent_text,Happy,Angry,Surprise,Sad,Fear
0,0,S_D4yJavp8M,4,I was a mid tier lawyer   in a Big 4 law firm in Singapore,0.0,0.0,0.5,0.0,0.5
1,0,S_D4yJavp8M,5,For over 6 years I slogged my guts out,0.0,0.0,0.0,1.0,0.0
2,0,S_D4yJavp8M,6,The job paid   me a nice 6 figure salary,0.5,0.0,0.0,0.0,0.5
3,0,S_D4yJavp8M,7,"When i talked about my job it always sounds, like, so glamourous",0.0,0.0,0.0,0.0,1.0
4,0,S_D4yJavp8M,8,"In the   eyes of my parents, the people around me, I had “made it”",0.0,0.0,0.0,0.5,0.5
5,0,S_D4yJavp8M,11,"Really, I was just going through the motions, day after day, and feeling so tired and   so … alone",1.0,0.0,0.0,0.0,0.0
6,0,S_D4yJavp8M,12,The colleagues working alongside me all seemed happy enough,0.5,0.0,0.0,0.0,0.5
7,0,S_D4yJavp8M,13,"In fact most of them were   actively buying into the whole thing, even when it seems obvious it was a pretty toxic work culture,   u know…",0.5,0.0,0.0,0.0,0.5
8,0,S_D4yJavp8M,14,Stuff like bragging about how they worked till 1am last night,0.0,0.5,0.0,0.0,0.5
9,0,S_D4yJavp8M,15,"Apparently right now, across   the world and especially in America, there’s this thing called the Great Resignation going on",0.5,0.0,0.0,0.5,0.0
10,0,S_D4yJavp8M,18,"And there r so   many different reasons why they’re doing it, but something like that… it’s never an easy decision   right? You go back n forth n back n forth",0.0,0.0,0.0,0.5,0.5
11,0,S_D4yJavp8M,19,"For me, the turning point was realising 3 things about   money",0.0,0.0,1.0,0.0,0.0
12,0,S_D4yJavp8M,21,"First, the whole job-salary   configuration? It’s a money trap",0.0,0.0,1.0,0.0,0.0
13,0,S_D4yJavp8M,22,Kinda like a rat trap,0.0,0.0,1.0,0.0,0.0
14,0,S_D4yJavp8M,23,"You get stuck, and you can’t escape",0.0,0.0,0.0,0.0,1.0
